,Southern Africa,Botswana, 312 , 259 , 291 , 261 , 280 , 281 , 289 , 303 , 220 ,,,,,17.23,14.11,15.61,13.77,14.50,14.28,14.40,14.80,10.53,,,,
,,Lesotho,,,,, 895 , 752 , 723 , 764 ,,,,,,0.00,,,,45.76,38.13,36.32,38.00,,,,,
,,Namibia,, 352 ,,,, 354 , 388 , 314 , 308 , 388 ,,,,0.00,17.58,,,,16.73,18.03,14.31,13.75,16.93,,,
,,South Africa," 19,824 "," 18,793 "," 18,793 "," 19,202 "," 18,487 "," 18,148 "," 16,834 "," 15,940 "," 15,609 "," 16,211 "," 16,914 "," 17,805 "," 18,673 ",42.20,39.43,38.87,39.17,37.20,36.04,33.01,30.88,29.88,30.68,31.66,32.99,34.27
,,Swaziland, 144 , 146 , 152 , 121 , 170 , 217 , 187 , 208 ,,, 102 ,,,13.24,13.34,13.76,10.82,14.98,18.81,15.93,17.43,,,8.16,,
,Western Africa,Benin,,, 574 ,,,,, 604 ,,,,, 654 ,0.00,,7.01,,,,,6.35,,,,,6.01
,,Burkina Faso,,, 78 , 90 , 108 , 128 , 98 , 91 , 89 , 117 ,,,,0.00,,0.58,0.65,0.76,0.87,0.65,0.58,0.55,0.71,,,
,,Cabo Verde,,,,, 29 , 34 , 38 , 39 , 53 , 56 , 54 , 65 , 46 ,0.00,,,,6.03,7.03,7.81,7.95,10.70,11.18,10.65,12.65,8.84
,,Côte d'Ivoire,,," 2,696 ",,,,," 2,576 ",,,,," 2,688 ",0.00,,14.87,,,,,12.80,,,,,11.84
,,Gambia,,, 142 ,,,,, 166 ,,,,, 181 ,0.00,,9.84,,,,,9.81,,,,,9.07
,,Ghana, 436 , 452 , 393 , 412 , 399 , 430 , 427 , 422 , 423 ,,,,,2.15,2.17,1.84,1.88,1.77,1.86,1.80,1.74,1.70,,,,
,,Guinea,,, 973 ,,,,," 1,019 ",,,,," 1,067 ",0.00,,10.06,,,,,9.26,,,,,8.46
,,Guinea-Bissau,,, 161 ,,,,, 163 ,,,,, 169 ,0.00,,11.02,,,,,9.97,,,,,9.17
,,Liberia,,,,, 100 , 177 , 145 , 129 , 161 , 135 ,,,,0.00,,,,2.84,4.82,3.79,3.26,3.95,3.22,,,
,,Mali,,," 1,623 ",,,,," 1,836 ",,,,," 1,905 ",0.00,,12.60,,,,,12.11,,,,,10.82
,,Mauritania,,, 388 ,,,,, 392 ,,,,, 416 ,0.00,,12.30,,,,,10.92,,,,,10.22
,,Niger,,,,,,,,, 831 , 788 ,,,,0.00,,,,,,,,4.90,4.47,,,
,,Nigeria,,," 16,423 ",,,,," 16,996 ",,,,," 17,843 ",0.00,,11.76,,,,,10.66,,,,,9.79
,,Senegal,,," 1,047 ",,,,," 1,099 ",,,,," 1,105 ",0.00,,9.29,,,,,8.48,,,,,7.30
,,Sierra Leone,, 112 , 99 , 101 , 134 , 184 , 158 , 163 , 187 , 113 ,,, 124 ,0.00,2.30,1.95,1.93,2.49,3.33,2.80,2.82,3.16,1.87,,,1.92
,,Togo,,, 606 ,,,,, 625 ,,,,, 668 ,0.00,,10.87,,,,,9.77,,,,,9.14
Americas,Caribbean,Anguilla, 1 , 2 , -   , 5 , 4 , 1 , 1 , -   , -   , 5 , 1 , 4 ,,8.32,16.20,0.00,38.75,30.43,7.48,7.37,0.00,0.00,35.38,6.99,27.66,
,,Antigua and Barbuda, 5 , 4 , 3 , 11 , 17 , 16 , 16 , 6 ,, 10 ,,,,6.18,4.89,3.63,13.18,20.14,18.75,18.54,6.88,,11.23,,,
,,Aruba, 4 , 2 , 12 , 10 , 6 , 5 , 4 , 4 ,,,,,,4.12,2.03,12.00,9.92,5.93,4.93,3.94,3.94,,,,,
,,Bahamas, 50 , 44 , 52 , 61 , 78 , 73 , 87 , 94 , 127 , 111 ,,,,15.83,13.64,15.79,18.17,22.79,20.94,24.52,26.05,34.63,29.81,,,
,,Barbados, 33 , 22 , 29 , 35 , 27 , 25 , 19 , 31 , 27 , 22 , 24 , 25 , 31 ,12.12,8.06,10.58,12.73,9.78,9.02,6.82,11.09,9.62,7.81,8.50,8.82,10.91
,,British Virgin Islands, 2 , 4 ,, 2 ,,,,,,,,,,8.97,17.75,,8.37,,,,,,,,,
,,Cayman Islands, 3 , 6 ,, 1 , 2 , 4 , 8 ,,,,,,,7.38,12.33,,2.00,3.89,7.56,14.74,,,,,,
,,Cuba, 642 , 660 , 684 , 576 , 568 , 515 , 565 , 505 , 534 ,,,,,5.72,5.87,6.07,5.11,5.03,4.56,5.00,4.47,4.72,,,,
,,Dominica, 8 , 8 , 8 , 5 , 7 , 7 , 13 , 15 , 6 ,,,,,11.42,11.38,11.34,7.07,9.89,9.88,18.31,21.08,8.40,,,,
,,Dominican Republic," 1,902 "," 2,239 "," 2,394 "," 2,144 "," 2,111 "," 2,394 "," 2,375 "," 2,474 "," 2,513 "," 2,268 ",," 1,810 ",,21.21,24.60,25.92,22.88,22.21,24.84,24.31,24.99,25.06,22.33,,17.39,
,,Grenada, 9 , 6 , 11 , 12 , 11 , 16 , 7 , 10 , 4 , 14 , 6 , 8 ,,8.79,5.84,10.68,11.62,10.62,15.39,6.71,9.55,3.81,13.27,5.67,7.52,
,,Guadeloupe,, 26 , 23 , 24 , 29 , 32 , 36 ,,,,,,,0.00,5.80,5.10,5.30,6.39,7.04,7.90,,,,,,
,,Haiti,,,,, 486 , 498 , 598 , 677 , 914 ," 1,033 ",,,,0.00,,,,5.09,5.13,6.07,6.77,9.01,10.04,,,
,,Jamaica, 975 ," 1,471 "," 1,674 "," 1,340 "," 1,584 "," 1,619 "," 1,683 "," 1,447 "," 1,133 "," 1,099 "," 1,200 "," 1,005 "," 1,207 ",36.79,55.22,62.51,49.79,58.57,59.58,61.66,52.79,41.16,39.78,43.27,36.11,43.21
,,Martinique,, 19 , 19 , 23 , 23 , 17 , 11 ,,,,,,,0.00,4.80,4.79,5.79,5.80,4.29,2.78,,,,,,
,,Montserrat, -   , -   , 1 , 1 ,, 1 ,,,,,,,,0.00,0.00,20.93,20.63,,20.39,,,,,,,
,,Puerto Rico, 787 , 797 , 771 , 748 , 731 , 807 , 894 , 977 ,, 978 , 883 , 681 , 584 ,20.79,21.12,20.50,19.95,19.55,21.65,24.04,26.34,,26.46,23.93,18.47,15.86
,,Saint Kitts and Nevis, 10 , 11 , 8 , 17 , 16 , 23 , 27 , 21 , 34 , 18 ,,,,20.97,22.72,16.28,34.12,31.71,45.02,52.21,40.11,64.15,33.55,,,
,,Saint Lucia, 36 , 37 , 41 , 43 , 29 , 39 , 39 , 44 ,, 39 ,,,,22.25,22.64,24.79,25.65,17.04,22.58,22.26,24.80,,21.56,,,
,,Saint Vincent and the Grenadines, 18 , 28 , 23 , 13 , 36 , 16 , 20 , 25 , 21 , 28 ,,,,16.61,25.79,21.15,11.94,33.01,14.66,18.31,22.87,19.21,25.61,,,
,,Trinidad and Tobago, 229 , 260 , 386 , 371 , 391 , 547 , 507 , 473 , 352 , 380 , 408 , 405 , 420 ,17.83,20.15,29.76,28.47,29.86,41.59,38.36,35.61,26.37,28.32,30.26,29.90,30.88
,,Turks and Caicos Islands, -   , -   , -   ,,, 2 , 2 ,,,,,,,0.00,0.00,0.00,,,6.78,6.61,,,,,,
,,United States Virgin Islands, 31 , 37 , 35 , 43 , 43 , 45 , 50 , 56 ,,,,,,28.53,34.19,32.48,40.01,40.12,42.11,46.91,52.64,,,,,
,Northern America,Bermuda, 2 , 1 , 2 , 3 , 3 , 5 , 6 , 7 , 8 , 6 , 5 , 4 , 4 ,3.08,1.54,3.07,4.61,4.62,7.74,9.33,10.95,12.58,9.50,7.97,6.41,6.45
,,Canada, 551 , 625 , 664 , 607 , 595 , 611 , 610 , 554 , 605 , 548 , 509 , 521 , 604 ,1.74,1.96,2.06,1.86,1.80,1.83,1.81,1.62,1.75,1.57,1.44,1.46,1.68
,,Greenland, 5 , 11 , 10 , 5 , 11 , 13 , 18 , 18 , 10 , 5 , 3 , 12 , 7 ,8.82,19.34,17.56,8.78,19.33,22.89,31.77,31.83,17.72,8.87,5.33,21.35,12.46
,,Saint Pierre and Miquelon,,,, -   , -   , 1 , 1 ,,,,,,,0.00,,,0.00,0.00,15.95,15.94,,,,,,
,,United States of America," 16,528 "," 16,148 "," 16,740 "," 17,309 "," 17,128 "," 16,465 "," 15,399 "," 14,722 "," 14,661 "," 14,856 "," 14,319 "," 14,164 "," 15,696 ",5.68,5.50,5.65,5.79,5.68,5.41,5.01,4.75,4.69,4.72,4.52,4.43,4.88
,South America,Argentina,,,,,,,,,,,," 3,227 "," 2,837 ",0.00,,,,,,,,,,,7.51,6.53
,,Bolivia (Plurinational State of),,, 654 , 598 , 787 , 850 , 835 ," 1,052 "," 1,029 "," 1,270 ",,,,0.00,,7.17,6.44,8.34,8.85,8.56,10.61,10.21,12.40,,,
,,Brazil,,,,," 44,625 "," 45,885 "," 44,518 "," 43,272 "," 48,084 "," 53,054 "," 54,163 "," 57,091 "," 55,574 ",0.00,,,,23.15,23.56,22.63,21.79,23.98,26.21,26.52,27.70,26.74
,,Chile, 513 ,, 576 , 590 , 616 , 588 , 630 , 541 , 636 , 434 , 556 , 638 ,,3.26,,3.58,3.62,3.74,3.53,3.74,3.18,3.70,2.50,3.16,3.59,
,,Colombia," 22,526 "," 19,036 "," 17,086 "," 16,119 "," 15,423 "," 14,911 "," 15,454 "," 15,013 "," 15,803 "," 14,670 "," 15,419 "," 13,343 "," 12,782 ",53.44,44.56,39.47,36.77,34.76,33.21,34.03,32.70,34.05,31.29,32.57,27.92,26.50
,,Ecuador," 1,937 "," 2,390 "," 2,121 "," 2,385 "," 2,273 "," 2,607 "," 2,625 "," 2,638 "," 2,345 "," 1,924 "," 1,725 "," 1,309 ",,14.58,17.69,15.44,17.08,16.00,18.04,17.87,17.66,15.45,12.48,11.01,8.23,
,,French Guiana,, 58 , 45 , 42 , 28 , 32 , 30 ,,,,,,,0.00,29.62,22.11,19.97,12.94,14.41,13.17,,,,,,
,,Guyana, 206 , 131 , 142 , 153 , 115 , 158 , 117 , 140 , 130 , 139 , 155 ,, 149 ,27.74,17.65,19.12,20.57,15.42,21.12,15.58,18.58,17.20,18.33,20.37,,19.42
,,Paraguay," 1,285 "," 1,209 "," 1,076 ", 934 , 783 , 833 , 821 , 741 , 657 , 649 , 604 , 578 , 617 ,22.91,21.20,18.57,15.88,13.12,13.78,13.40,11.93,10.44,10.17,9.34,8.82,9.29
,,Peru," 1,316 "," 1,526 "," 3,057 "," 3,141 "," 2,943 "," 3,332 "," 2,969 "," 2,709 "," 1,617 "," 1,958 "," 2,013 "," 2,076 "," 2,247 ",4.89,5.60,11.07,11.24,10.40,11.63,10.24,9.22,5.43,6.49,6.59,6.70,7.16
,,Suriname,,, 15 ,,,,, 49 ,,,,, 58 ,0.00,,3.12,,,,,9.54,,,,,10.68
