Guatemala,,970,830,646,491,596,795,880,799,911,,,,,7.53,6.3,4.79,3.56,4.22,5.51,5.97,5.31,5.93,,,
Honduras,,,,,,,,,,,,,325,,,,,,,,,,,,,4.02
Panama,,,,214,280,286,410,420,228,352,264,,383,,,,6.33,8.14,8.17,11.52,11.6,6.19,9.4,6.94,,9.75
Mexico*,,"86,961","89,535","97,239","100,257","101,931","105,455","114,376","116,538","114,291","119,240","100,943","88,165",,80.33,81.58,87.3,88.61,88.66,90.27,96.42,96.82,93.63,96.36,80.51,69.41
Kazakhstan,,,,"17,717","14,205","13,341","13,727","18,705","32,682","42,940","45,873","44,553","38,718",,,,113.55,90.16,83.82,85.27,114.68,197.42,255.27,268.27,256.47,219.67
Tajikistan,,,,97,148,260,175,273,151,,,,,,,,1.4,2.08,3.58,2.36,3.6,1.95,,,,
Kyrgyzstan*,130,132,148,159,169,181,,"1,159","7,400","6,500","9,166","8,539","7,393",2.57,2.6,2.89,3.08,3.23,3.41,,21.21,133.24,115.08,159.53,146.13,124.46
Hong Kong Special Administrative Region of China,,,,,,,,,,,"2,709",,,,,,,,,,,,,37.81,,
Japan,,"170,991","142,945","120,023","103,490","91,200","81,598","74,652","67,011","61,015","57,821","48,120",,,134.88,112.57,94.4,81.33,71.63,64.08,58.63,52.66,47.99,45.53,37.95,
Mongolia,,,,"2,283","2,348","1,994","2,091","1,914","1,554","1,280",448,500,"1,898",,,,89.23,90.56,75.83,78.33,70.56,56.32,45.58,15.67,17.18,64.14
Republic of Korea,,,,"31,363","36,375","36,414","37,998","37,339","34,952",,"30,334","23,753",,,,,65.47,75.46,75.07,77.85,76.06,70.82,,60.85,47.44,
Macao Special Administrative Region of China*,,,,,,793,584,412,623,499,351,189,78,,,,,,156.33,112.01,77.06,113.96,89.46,61.79,32.7,13.27
Myanmar,,,,,,,7,6,16,8,6,10,8,,,,,,,0.01,0.01,0.03,0.02,0.01,0.02,0.01
Singapore,,,,424,326,423,480,525,358,,,,,,,,9.19,6.89,8.72,9.67,10.34,6.9,,,,
Thailand,,,,,,,,"3,795","3,236","3,355","3,229","3,006","3,555",,,,,,,,5.69,4.84,5,4.79,4.44,5.23
