,,Chile*, 161 , 114 , 151 , 247 , 254 , 266 , 246 , 259 , 327 , 254 , 254 , 266 , 271 , 1.02 , 0.72 , 0.94 , 1.52 , 1.54 , 1.60 , 1.46 , 1.52 , 1.90 , 1.46 , 1.45 , 1.50 , 1.51 
,,Peru*, 275 , 469 , 497 , 611 , 463 , 483 , 822 , 476 , 471 , 446 , 430 , 347 , 205 , 1.02 , 1.72 , 1.80 , 2.19 , 1.64 , 1.69 , 2.83 , 1.62 , 1.58 , 1.48 , 1.41 , 1.12 , 0.65 
,Central America,Belize,,, 9 , 8 ,,, 2 ,, 3 , 4 ,, 4 ,,,, 3.18 , 2.75 ,,, 0.64 ,, 0.91 , 1.19 ,, 1.14 ,
,,Costa Rica, 5 , 8 , 11 , 6 , 8 , 8 , 5 , 11 , 12 , 5 , 4 , 4 ,, 0.12 , 0.19 , 0.26 , 0.14 , 0.18 , 0.18 , 0.11 , 0.24 , 0.26 , 0.11 , 0.08 , 0.08 ,
,,El Salvador,,, 4 , 8 , 21 , 10 , 22 , 29 , 15 , 14 , 14 , 17 , 19 ,,, 0.07 , 0.13 , 0.35 , 0.17 , 0.37 , 0.48 , 0.25 , 0.23 , 0.23 , 0.28 , 0.31 
,,Guatemala,, 51 , 52 , 57 , 98 , 213 , 162 , 133 , 124 , 83 , 51 , 46 ,,, 0.40 , 0.39 , 0.42 , 0.71 , 1.51 , 1.12 , 0.90 , 0.82 , 0.54 , 0.33 , 0.29 ,
,,Honduras,,,,,,,,, 37 , 79 , 51 ,, 42 ,,,,,,,,, 0.49 , 1.02 , 0.65 ,, 0.52 
,,Nicaragua,,, 11 , 6 ,,,, 7 ,,,,,,,, 0.20 , 0.11 ,,,, 0.12 ,,,,,
,,Mexico*, 169 , 323 , 325 , 595 , 438 , 907 ," 1,162 "," 1,284 "," 1,344 "," 1,512 "," 1,888 "," 1,621 "," 1,160 ", 0.16 , 0.30 , 0.30 , 0.53 , 0.39 , 0.79 , 0.99 , 1.08 , 1.12 , 1.24 , 1.53 , 1.29 , 0.91 
,,Panama*,, 11 , 17 , 13 , 29 , 21 , 28 , 38 , 25 , 17 , 26 , 22 , 14 ,, 0.34 , 0.51 , 0.38 , 0.84 , 0.60 , 0.79 , 1.05 , 0.68 , 0.45 , 0.68 , 0.57 , 0.36 
Asia,Central Asia,Kazakhstan,,, 92 , 84 , 84 , 89 , 120 , 127 , 201 , 81 , 115 , 76 , 79 ,,, 0.60 , 0.54 , 0.53 , 0.56 , 0.75 , 0.78 , 1.21 , 0.48 , 0.67 , 0.44 , 0.45 
,,Tajikistan,,,, 199 , 181 , 188 , 155 , 146 , 172 ,,,,,,,, 2.86 , 2.55 , 2.59 , 2.09 , 1.93 , 2.22 ,,,,
,,Turkmenistan, 157 , 127 ,,,,,,,,,,,, 3.38 , 2.70 ,,,,,,,,,,,
