,,Canada," 174,208 "," 169,977 "," 160,014 "," 158,638 "," 145,714 "," 125,568 "," 107,992 "," 92,506 "," 82,460 "," 78,068 "," 72,512 "," 74,010 "," 78,849 ",551.35,532.53,496.07,486.45,441.79,376.37,320.01,271.07,239.02,223.89,205.82,207.96,219.39
,,United States of America," 1,261,226 "," 1,237,851 "," 1,235,859 "," 1,198,245 "," 1,100,472 "," 959,059 "," 795,652 "," 739,565 "," 716,508 "," 723,186 "," 700,288 "," 686,803 "," 707,758 ",433.40,421.71,417.32,400.94,364.81,314.99,258.97,238.66,229.36,229.73,220.82,215.00,219.96
,South America,Argentina,,," 52,560 "," 52,727 "," 53,200 "," 62,044 ",,,,,,," 37,189 ",,,134.27,133.29,133.10,153.64,,,,,,,85.66
,,Bolivia (Plurinational State of),,,," 3,285 "," 2,869 "," 3,153 "," 3,543 "," 4,113 "," 5,938 "," 5,613 ",,,,,,,35.39,30.39,32.84,36.31,41.47,58.92,54.82,,,
,,Brazil,,,," 210,212 "," 188,713 "," 183,048 "," 188,205 "," 121,486 "," 167,109 "," 185,288 "," 228,936 ",,,,,,110.23,97.89,93.98,95.68,61.17,83.34,91.54,112.08,,
,,Chile,,," 12,108 "," 13,638 "," 19,284 "," 21,422 "," 27,864 "," 30,782 "," 34,741 "," 33,014 "," 31,220 "," 32,862 "," 31,949 ",,,75.22,83.77,117.14,128.69,165.56,180.91,201.97,189.86,177.63,185.01,178.01
,,Colombia,,,," 19,813 "," 18,311 "," 19,640 "," 21,557 "," 21,449 "," 30,722 "," 31,875 "," 32,133 "," 31,680 "," 35,023 ",,,,45.20,41.26,43.74,47.47,46.71,66.20,67.99,67.87,66.29,72.62
,,Ecuador," 5,601 "," 6,167 "," 6,433 "," 7,096 ",,," 10,856 "," 10,884 "," 10,952 "," 12,204 "," 13,744 "," 12,843 ",,42.15,45.65,46.84,50.80,,,73.89,72.88,72.16,79.15,87.76,80.76,
,,Guyana,,,,,,,, 23 , 25 , 48 , 77 ,, 52 ,,,,,,,,3.05,3.31,6.33,10.12,,6.78
,,Paraguay,,," 1,524 "," 2,677 "," 3,368 "," 3,598 "," 4,374 "," 4,757 "," 5,119 "," 4,390 "," 4,425 "," 4,108 "," 4,004 ",,,26.30,45.51,56.45,59.50,71.38,76.60,81.33,68.82,68.44,62.69,60.31
,,Peru," 8,722 "," 10,633 "," 12,560 "," 10,428 "," 11,226 "," 12,840 "," 13,787 "," 15,179 "," 15,881 "," 16,357 "," 18,927 "," 17,988 "," 16,501 ",32.38,38.99,45.49,37.31,39.68,44.83,47.54,51.68,53.36,54.24,61.92,58.08,52.59
,,Suriname, 71 , 40 ,,,,,,,,,,,,14.56,8.17,,,,,,,,,,,
,,Uruguay," 4,456 "," 4,677 ",,,,,,,," 17,284 "," 16,341 "," 17,193 "," 16,350 ",133.99,140.70,,,,,,,,508.84,479.49,502.79,476.46
,Central America,Belize,,, 67 , 62 ,,, 150 , 138 , 92 , 128 , 78 , 107 ,,,,23.65,21.32,,,47.78,42.91,27.95,38.02,22.66,30.42,
,,Costa Rica," 5,304 "," 4,763 "," 5,114 "," 5,600 "," 5,304 "," 6,492 "," 6,873 "," 4,980 "," 5,078 "," 4,335 "," 4,219 "," 4,225 ",,128.55,113.76,120.39,129.97,121.39,146.56,153.13,109.56,110.38,93.14,89.64,88.81,
,,Honduras,,,,," 1,505 "," 1,667 "," 2,381 "," 2,838 "," 3,200 "," 2,123 "," 1,389 ",, 177 ,,,,,21.10,22.96,32.25,37.82,41.99,27.44,17.70,,2.19
,,Nicaragua,,, 285 , 200 ,,,, 388 ,,,,,,,,5.30,3.67,,,,6.76,,,,,
,,El Salvador*,,," 1,857 "," 1,257 "," 1,421 "," 1,179 "," 1,215 ", 999 ," 1,095 ", 838 ," 1,082 "," 1,371 "," 2,163 ",,,31.22,21.06,23.74,19.64,20.18,16.54,18.08,13.80,17.77,22.45,35.31
,,Mexico*,," 144,457 "," 143,525 "," 146,808 "," 163,131 "," 193,856 "," 202,480 "," 229,965 "," 230,415 "," 208,491 "," 189,805 "," 170,640 "," 155,825 ",,133.44,130.78,131.80,144.19,168.61,173.33,193.87,191.43,170.79,153.39,136.09,122.68
,,Panama*,, 771 , 757 , 205 , 198 , 331 , 497 , 280 , 324 , 274 , 220 , 805 ," 1,118 ",,23.65,22.81,6.07,5.76,9.46,13.96,7.73,8.80,7.32,5.78,20.81,28.45
,,Guatemala*,," 4,654 "," 4,034 "," 3,235 "," 3,169 "," 3,261 "," 9,788 "," 10,676 "," 11,960 "," 11,841 "," 11,424 "," 10,609 ",,,36.14,30.60,23.98,22.97,23.12,67.89,72.47,79.47,77.05,72.81,66.24,
Asia,Central Asia,Kazakhstan,,,," 2,141 "," 1,702 "," 1,914 "," 1,780 "," 2,151 "," 2,930 "," 4,116 "," 4,461 "," 3,855 "," 3,785 ",,,,13.72,10.80,12.03,11.06,13.19,17.70,24.47,26.09,22.19,21.47
,,Kyrgyzstan, 219 , 238 , 295 , 218 , 310 , 237 , 238 , 765 , 254 , 290 , 300 , 311 , 307 ,4.34,4.69,5.77,4.22,5.93,4.47,4.42,14.00,4.57,5.13,5.22,5.32,5.17
,,Tajikistan,, 41 , 53 , 38 , 43 , 48 , 54 , 46 , 48 ,,,,,,0.62,0.78,0.55,0.61,0.66,0.73,0.61,0.62,,,,
,,Turkmenistan, 10 , 8 , 4 , 2 ,,,,,,,,,,0.22,0.17,0.08,0.04,,,,,,,,,
,Eastern Asia,Hong Kong Special Administrative Region of China," 2,301 "," 1,740 "," 1,568 "," 1,752 "," 1,382 "," 1,347 "," 1,095 ", 945 , 864 , 600 , 588 ,,,33.59,25.43,22.92,25.55,20.09,19.49,15.76,13.51,12.27,8.45,8.21,,
,,Japan,," 185,454 "," 150,883 "," 129,352 "," 114,818 "," 108,546 "," 108,799 "," 98,266 "," 94,100 "," 81,751 "," 72,971 "," 59,824 ",,,146.29,118.83,101.74,90.23,85.26,85.44,77.18,73.95,64.30,57.46,47.18,
,,Mongolia,, 61 , 73 , 93 , 151 , 73 , 96 , 146 , 178 , 172 , 135 , 249 , 367 ,,2.44,2.89,3.63,5.82,2.78,3.60,5.38,6.45,6.12,4.72,8.56,12.40
,,Republic of Korea,,,," 14,090 "," 11,468 "," 9,969 "," 7,704 "," 7,441 "," 10,354 "," 6,033 "," 7,044 "," 5,636 ",,,,,29.41,23.79,20.55,15.78,15.16,20.98,12.16,14.13,11.26,
,,Macao Special Administrative Region of China*,,,,,, 866 , 490 , 410 , 495 , 494 , 364 , 355 , 247 ,,,,,,170.72,93.98,76.69,90.55,88.57,64.08,61.43,42.03
,South-Eastern Asia,Brunei Darussalam, 148 , 142 , 163 , 169 ,,,,,,,,,,42.34,39.92,45.04,45.91,,,,,,,,,
,,Indonesia,,,,,," 34,804 "," 37,506 "," 35,668 "," 39,217 "," 41,816 "," 42,508 "," 42,165 "," 38,389 ",,,,,,14.79,15.73,14.76,16.02,16.86,16.92,16.57,14.90
,,Malaysia,,," 66,927 "," 82,287 ",,,,,,,,,,,,259.45,313.32,,,,,,,,,
,,Myanmar,,,,,,, 7 , 1 , 10 , 25 , 1 , 20 , 50 ,,,,,,,0.01,0.00,0.02,0.05,0.00,0.04,0.09
,,Singapore," 1,190 "," 1,117 "," 1,058 ", 900 ," 1,103 "," 1,178 "," 1,115 ", 987 , 673 , 586 , 404 , 314 , 302 ,27.97,25.53,23.53,19.50,23.31,24.29,22.46,19.43,12.97,11.06,7.47,5.70,5.39
